[2018-12-23 14:30:20] [ERROR] http://dblp.uni-trier.de/db/journals/toplas/ Exc..., try again after 10s
[2018-12-23 14:30:20] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:31:39] [ERROR] https://dblp.uni-trier.de/db/journals/toplas/toplas39.html Exc..., try again after 10s
[2018-12-23 14:31:39] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 14:32:23] [ERROR] https://dblp.uni-trier.de/db/journals/toplas/toplas39.html Exc..., try again after 10s
[2018-12-23 14:32:23] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:33:08] [ERROR] https://dblp.uni-trier.de/db/journals/tosem/tosem27.html Exc..., try again after 10s
[2018-12-23 14:33:08] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:34:19] [ERROR] https://dblp.uni-trier.de/db/journals/tosem/tosem27.html Exc..., try again after 10s
[2018-12-23 14:34:19] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 14:35:25] [ERROR] https://dblp.uni-trier.de/db/journals/ese/ese22.html Exc..., try again after 10s
[2018-12-23 14:35:25] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:35:55] [ERROR] https://dblp.uni-trier.de/db/journals/ese/ese22.html Exc..., try again after 10s
[2018-12-23 14:35:55] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Max retries exceeded with url: /db/journals/ese/ese22.html (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.VerifiedHTTPSConnection object at 0x0000019FCBCAEDD8>, 'Connection to dblp.uni-trier.de timed out. (connect timeout=20)'))
[2018-12-23 14:36:53] [ERROR] http://dblp.uni-trier.de/db/journals/tsc/ Exc..., try again after 10s
[2018-12-23 14:36:53] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:37:41] [ERROR] https://dblp.uni-trier.de/db/journals/tsc/tsc10.html Exc..., try again after 10s
[2018-12-23 14:37:41] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:39:11] [ERROR] http://dblp.uni-trier.de/db/journals/ai/ Exc..., try again after 10s
[2018-12-23 14:39:11] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:40:34] [ERROR] https://dblp.uni-trier.de/db/journals/ai/ai255.html Exc..., try again after 10s
[2018-12-23 14:40:34] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:41:30] [ERROR] https://dblp.uni-trier.de/db/journals/ai/ai255.html Exc..., try again after 10s
[2018-12-23 14:41:30] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:42:32] [ERROR] https://dblp.uni-trier.de/db/journals/ai/ai257.html Exc..., try again after 10s
[2018-12-23 14:42:32] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Max retries exceeded with url: /db/journals/ai/ai257.html (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.VerifiedHTTPSConnection object at 0x0000019FCACBE4A8>, 'Connection to dblp.uni-trier.de timed out. (connect timeout=20)'))
[2018-12-23 14:43:20] [ERROR] https://dblp.uni-trier.de/db/journals/ai/ai259.html Exc..., try again after 10s
[2018-12-23 14:43:20] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 14:44:00] [ERROR] https://dblp.uni-trier.de/db/journals/ai/ai259.html Exc..., try again after 10s
[2018-12-23 14:44:00] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:45:32] [ERROR] https://dblp.uni-trier.de/db/journals/pieee/pieee106.html Exc..., try again after 10s
[2018-12-23 14:45:32] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:46:23] [ERROR] http://dblp.uni-trier.de/db/journals/infsof/index.html Exc..., try again after 10s
[2018-12-23 14:46:23] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:46:55] [ERROR] http://dblp.uni-trier.de/db/journals/infsof/index.html Exc..., try again after 10s
[2018-12-23 14:46:55] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:48:55] [ERROR] https://dblp.uni-trier.de/db/journals/infsof/infsof101.html Exc..., try again after 10s
[2018-12-23 14:48:55] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 14:49:52] [ERROR] https://dblp.uni-trier.de/db/journals/infsof/infsof103.html Exc..., try again after 10s
